Message ID,Applicable For,Subject,Body,Review Status,Last Review Date
1,All users,It's been a day. How are you actually doing?,"Not the version you tell everyone else — the real one. A two-minute mood check-in is one of the most effective things you can do to catch stress before it quietly builds into something heavier.
Why it works: Daily self-monitoring is your early warning system. Noticing is the first step to changing.
CTA: Check in now →",Completed,23/06/2026
2,All users,You don't need a reason to check in. You just need a minute.,"Some days are fine. Some aren't. Either way, taking a moment to name where you are — and choose three small actions for the next 24 hours — is how steady days get built, one at a time.
Why it works: Research shows it's consistent small habits, not big gestures, that build resilience over time.
CTA: Take your minute →",Completed,23/06/2026
3,All users,The hard days rarely announce themselves.,"They tend to creep up — a run of poor sleep, a few skipped routines, a week of feeling slightly off. Checking in today means you notice the drift before it becomes the destination.
Why it works: Regular check-ins act as a compass. They don't stop hard days — they help you find your way back faster.
CTA: Check in before the day gets away →",Completed,23/06/2026
4,All users,Three actions. That's all today asks.,"You don't need to solve anything. Just check in, take a breath, find a resource you want to work on and do three small things in the next 24 hours. Small and specific beats ambitious and vague every time.
Why it works: Implementation intentions — small, concrete actions — are one of the most evidence-backed behavior change tools available.
CTA: Choose your three →",Completed,23/06/2026
5,All users,Your future self starts with what you do right now.,"Resilience isn't built in a single moment. It's built in the small decision to show up — on good days and hard ones — and keep the habit alive. Today's check-in is part of that.
Why it works: Habits with the most long-term payoff are often the ones that feel smallest in the moment. This is one of them.
CTA: Show up for yourself today →",Completed,23/06/2026
6,All users,Good days are worth recording too.,"Check-ins aren't just for tough days. On the good ones, noticing what's working — what you did, how you felt, what helped — gives you something real to come back to when things get harder.
Why it works: Self-awareness in the good times builds the pattern recognition that keeps you steady when things shift.
CTA: Capture today before it passes →",Completed,23/06/2026
7,All users,You've checked in before. That matters more than you think.,"The fact that you're here — that you started this — means something. Every check-in, however small, is a signal to yourself that you're paying attention. Find a resource you can work on today.
Why it works: Identity reinforcement (""I'm someone who does this"") is one of the most powerful drivers of habit maintenance.
CTA: Keep the habit alive →",Completed,23/06/2026
8,All users,What's one thing weighing on you right now?,"You don't have to fix it. You don't have to share it with anyone. Just name it — to yourself, honestly — and then set it down. That simple act of acknowledgment is where the reset begins.
Why it works: Labelling emotions (""name it to tame it"") is supported by neuroscience as a way to reduce their intensity and restore clarity.
CTA: Name it and reset →",Completed,23/06/2026
9,All users,Sleep. Stress. Mood. Three questions. Two minutes.,"That's all a check-in is. A quick read of where you are right now — your own internal weather report. The data you gather on yourself, over time, becomes one of the most useful things you own.
Why it works: Tracking mood and sleep over time reveals patterns that are almost impossible to see day-to-day but become clear in the aggregate.
CTA: Run your weather check →",Completed,23/06/2026
10,All users,You can't pour from an empty cup. But you can notice it's running low.,"Checking in doesn't fill the cup. But it tells you honestly how much is in it — which means you can make better decisions about today before the week decides for you.
Why it works: Awareness of your current state is the foundation of good self-regulation. You can't manage what you haven't measured.
CTA: Check your level →",Completed,23/06/2026
11,All users,This is three minutes for the only person who has to live your life.,"You give time to a lot of things and a lot of people. This is three minutes — just for you, just on you. A quick reset and three clear actions before the next 24 hours begin.
Why it works: Brief, regular self-care rituals signal self-worth and reduce accumulated stress in ways that occasional longer practices don't always match.
CTA: Take your three minutes →",Completed,23/06/2026
12,All users,Tough days are easier when you saw them coming.,"You won't always be able to prevent a hard stretch. But consistent check-ins mean you're rarely blindsided by one — because you've been watching, and you notice sooner than most when things are shifting.
Why it works: Early stress recognition shortens recovery time. The gap between ""I'm drifting"" and ""I'm in trouble"" is where this habit does its most important work.
CTA: Stay one step ahead →",Completed,23/06/2026
13,All users,How did yesterday actually go?,"Not the headline version. The honest one. Did you sleep? Did you move? Did you connect with anyone who matters? A minute of reflection today is the fastest way to make tomorrow a little more intentional.
Why it works: Reviewing yesterday alongside rating today creates a feedback loop — the kind that gradually, reliably improves decision-making about your own wellbeing.
CTA: Reflect and reset →",Completed,23/06/2026
14,All users,Some habits save you quietly. This is one of them.,"You won't always feel the benefit of today's check-in today. But the research on resilience is clear — it's built in the accumulation of ordinary moments like this one. The tough days, when they come, will be easier because of the ones you showed up for when they didn't.
Why it works: The protective value of consistent mental health habits is cumulative. The return is often invisible — until you need it.
CTA: Add to your accumulation →",Completed,23/06/2026
15,All users,How did you sleep?,"It's the question that shapes everything else. Sleep is one of the clearest protective factors in mental health research — it affects emotional regulation, stress recovery, and how you experience everything that follows. Your check-in starts there.
Why it works: Sleep quality is both an outcome of good mental health habits and a driver of them. Tracking it daily is one of the fastest ways to notice when something in your life needs adjusting.
CTA: Start with sleep →",Completed,23/06/2026
16,All users,Did you move today? Even a little counts.,"Not a training session. Not a goal. Just movement — a walk, some stairs, ten minutes outside. Physical activity is one of the most consistently supported mental health behaviours in the research. Your check-in is the place to notice whether you got any today.
Why it works: Even low-intensity movement is associated with reduced depressive symptoms. Tracking it keeps it visible — and visible habits are more likely to be maintained.
CTA: Log your movement and check in →",Completed,23/06/2026
17,All users,Who did you connect with today?,"A real conversation. A message to someone who matters. Sitting with someone over coffee. Social connection isn't a lifestyle bonus — the research increasingly treats it as a core mental health behaviour. Your check-in is a good moment to notice whether you've had any today.
Why it works: Meaningful social contact is one of the five habits most consistently linked to resilience. If it's been missing from your week, that's useful information.
CTA: Check in — and maybe send that message →",Completed,23/06/2026
18,All users,You don't have to feel bad to benefit from this.,"Check-ins aren't just for hard days. They're for all days — because steady days, built consistently, are what make you harder to knock over when the hard ones arrive. Today might be completely fine. Check in anyway.
Why it works: Preventive mental health habits work precisely because they're practiced before a crisis, not in response to one. The habit is most valuable when it feels least necessary.
CTA: Check in on a good one →",Completed,23/06/2026
19,All users,What would you tell a friend who felt the way you do right now?,"It's a useful question — because most of us are far more compassionate with others than with ourselves. Bring that same voice into your check-in today. Notice how you're doing, and respond to it the way you'd respond to someone you care about.
Why it works: Self-compassion is a well-evidenced predictor of resilience and emotional recovery. Practicing it during low-stakes moments builds the capacity to access it when it really counts.
CTA: Check in with some kindness →",Completed,23/06/2026
20,All users,You're carrying more than you think. Put some of it down.,"Not permanently. Not forever. Just for a moment — name what's in the pile, acknowledge it honestly, and then choose three things you can actually do in the next 24 hours. That's the reset. That's all it is.
Why it works: Cognitive offloading — externalising what's in your head, even briefly — reduces mental load and frees up the working memory needed for clearer decision-making.
CTA: Put it down for a moment →",Completed,23/06/2026
21,All users,Patterns only appear when you look for them.,"One check-in tells you how you feel today. A week of them starts to show you why. Sleep patterns. Stress triggers. What kinds of days follow which kinds of evenings. That self-knowledge is one of the most useful things you can develop — and it only comes from showing up consistently.
Why it works: Longitudinal self-monitoring reveals behavioural patterns that are invisible day-to-day. The data you gather on yourself over time becomes a practical guide to your own wellbeing.
CTA: Add to your pattern today →",Completed,23/06/2026
22,All users,The week is almost over. How did it actually go?,"Not the version for the group chat — the honest one. A quick check-in at the end of the week is one of the best ways to notice what's been building, name what helped, and choose something intentional to take into the next seven days.
Why it works: Weekly reflection is a natural complement to daily check-ins — it gives you a slightly wider lens at a moment when you're naturally inclined to review.
Note for dev team: Consider surfacing this prompt preferentially on Fridays or the user's self-identified end of week.
CTA: Close the week with intention →",Completed,23/06/2026
23,All users,It's okay if today was hard. Check in anyway.,"You don't have to have fixed anything. You don't have to have had a good day. The check-in isn't a report card — it's just a moment to acknowledge where you are, set something down, and choose three small steps forward. Hard days need this more than easy ones.
Why it works: Maintaining a habit through difficult days is what makes it a real habit, rather than something you do when you feel like it. The consistency is the point — especially on the days it feels hardest.
CTA: Show up for the hard day →",Completed,23/06/2026
24,All users,New week. Clean slate. Three intentions.,"Whatever last week was — a good one, a hard one, a mixed one — today is a natural reset point. A check-in now means you start the week with honest self-awareness and three clear intentions, rather than just hoping this week goes better than the last.
Why it works: Fresh-start moments (new weeks, new months) are well-evidenced trigger points for positive behavioural change. Using them intentionally amplifies their natural motivational value.
Note for dev team: Consider surfacing this prompt preferentially on Mondays or the user's self-identified start of week.
CTA: Set your intentions for the week ahead →",Completed,23/06/2026
25,All users,The community check-in is this week. How are you heading into it?,"Before you show up alongside others, it's worth knowing where you're at yourself. A quick check-in now means you arrive with a little more clarity — and sometimes that's what makes the difference between going through the motions and actually being present.
Why it works: Combining individual self-reflection with community connection amplifies the benefit of both. Knowing your own state before social contact improves the quality of that contact.
Note for dev team: Surface this prompt in the 24-48 hours before the user's local weekly community gathering.
CTA: Check in before you connect →",Completed,23/06/2026
26,All users,You've been quiet for a while. No pressure — just checking in.,"Life gets in the way. That's not a failure — it's just life. But here you are, and here's a moment. A quick check-in is the fastest way to reconnect with yourself after a gap. Not to catch up on everything you missed. Just to start again from today.
Why it works: Restarting a habit after a lapse is significantly easier than starting from scratch — but only if the return is made low-pressure. Self-compassion after a gap predicts better long-term adherence than self-criticism.
Note for dev team: Consider surfacing this prompt after a gap of 5+ days with no check-in. Replaces the standard rotation prompt.
CTA: Start again from today →",Completed,23/06/2026
27,All users,Before the day runs away from you — two minutes.,"It doesn't take long to lose the thread of how you're really doing. A check-in now — before the day fills up — means you start with self-awareness rather than trying to find it at the end when you're already spent.
Why it works: Morning or early-day check-ins leverage the decision-making clarity that's typically highest before cognitive fatigue sets in. Timing habits to high-willpower windows improves consistency.
Note for dev team: Consider surfacing this prompt for users who have indicated a preference for morning check-ins.
CTA: Catch the day before it catches you →",Completed,23/06/2026
28,All users,"End the day with intention, not just exhaustion.","The day is nearly done. Before you let it go — give it two minutes. What happened? How did it land? What are three things you're taking into tomorrow? Going to sleep with a small sense of completion feels different to going to sleep with the day just trailing off.
Why it works: Evening reflection prompts cognitive consolidation of the day's experiences and supports better sleep quality by providing a sense of resolution and closure before rest.
Note for dev team: Consider surfacing this prompt for users who have indicated a preference for evening check-ins.
CTA: Close the day well →",Completed,23/06/2026
